,across,within,Subject,R
0,0.7642366364409844,0.4728433056033177,CH065,[32.32 28.31 55.91]
1,0.6456904359027029,0.38948195388205736,FR029,[ 60.61 -39.23  43.64]
2,0.1973343092839992,0.06627934373324633,TJ018,[ 55.56 -22.8  -21.58]
3,0.6938527075388462,0.5534597553500206,CH066,[-36.36 -32.74  59.21]
4,0.48624869027239503,0.19412539423790287,CH066,[-33.33  25.48 -40.24]
5,0.6211406624574758,0.5952562568464841,UP019,[-57.58  39.69  11.89]
6,0.7190744813383312,0.6731676816330134,CH058,[ 53.54  20.23 -14.33]
7,0.7077652957277814,0.3921694407310252,FR037,[ 61.62 -38.82  34.95]
8,0.6794948444018394,0.6609770149506864,CH042,[-22.22 -17.86 -40.37]
9,0.5424089107181714,0.5214878057992665,CH003,[-58.59 -13.28  -3.15]
10,0.7594519373443126,0.6416683080679985,TJ019,[ 67.68 -31.04   1.63]
11,0.6234354574639632,0.39799071608549297,TJ021,[ 48.48  26.26 -10.4 ]
12,0.6265662320731553,0.2340894446089559,CH046,[-42.42 -41.8   54.38]
13,0.3799737936508287,0.19188465944255587,TJ018,[-54.55  36.7    9.56]
14,0.556850043459765,0.07021333270118871,CH065,[ 55.56 -60.08  47.98]
15,0.39854516306897403,0.0745240501136169,TJ010,[ 10.1  -48.24  -6.36]
16,0.5501827075521649,0.5123619729185618,TJ025,[20.2  17.6  64.05]
17,0.7405938300529407,0.6627373976143801,TJ019,[ 26.26  25.48 -40.24]
18,0.5528988716119899,0.2781815801605499,TJ021,[ 24.24 -42.62 -16.77]
19,0.41812302230620907,0.21952187984364116,UP005,[ 61.62 -59.77  41.46]
20,0.5600642255527676,0.2862498595779457,FR029,[ 31.31  38.82 -14.44]
21,0.3966802147866319,0.13643885644457415,TJ018,[-55.56  28.    18.89]
22,0.7680537065273796,0.7284884565674945,FR150,[ 68.69 -58.38  33.92]
23,0.3146628530041501,0.12641089542129308,CH005,[49.49  5.71 31.86]
24,0.5526037816742396,0.5378169133922589,CH048,[32.32 20.75 -2.38]
25,0.6351719292722087,0.543988442176177,TJ025,[ 41.41  22.34 -39.23]
26,-0.0010413005244679816,0.4391903581884105,TJ021,[ 67.68 -23.48  16.17]
27,0.4875397374292218,0.3520505804655805,TJ025,[ 63.64 -12.05  14.6 ]
28,0.8029775503296193,0.7380249263183799,CH065,[ 4.04 77.84 -9.8 ]
29,0.22662173373699335,0.21502798450686145,FR160,[-68.69 -55.49  -5.59]
30,0.9362803736452738,0.5599257296292877,CH013,[ 2.02 37.17 43.32]
31,0.492374870018624,0.26051413630346576,UP004,[ 33.33 -18.74   3.36]
32,0.6111104677712144,0.5490125240499772,FR220,[29.29  1.64 74.09]
33,0.5475568432548124,0.4686551736014215,CH008b,[ 20.2  -49.63  67.03]
34,0.7248298304186602,0.3441690152267209,CH061,[ 40.4  -41.03  38.1 ]
35,0.5780537117709574,0.4522238014821387,FR220,[ 61.62 -22.86  46.68]
36,0.8049583423861099,0.6284848061027906,CH068,[-42.42   6.9  -40.13]
37,0.6312114866526046,0.5080575826183451,TJ030,[ 59.6  -70.63   9.33]
38,0.790753879379542,0.7954456331552676,CH012,[-44.44 -14.1  -31.8 ]
39,0.47126500147450895,0.4169298849063657,CH003,[-49.49   5.51  -8.02]
40,0.6196203061699033,0.5005533626554171,CH008b,[ 62.63 -34.39   6.89]
41,0.6544510507619212,0.5127720906071938,FR260,[-67.68  -9.94  13.62]
42,0.7352622500736221,0.5121880146537608,FR050,[-66.67 -24.56  38.97]
43,0.48906613865975296,0.342116052245284,CH040,[-41.41  31.5   32.13]
44,0.6147044280197138,0.5700244740602175,FR120,[ 18.18   0.1  -26.22]
45,0.7690829009361532,0.7653377201698177,FR210,[-44.44 -27.13 -17.06]
46,0.5968067765042382,0.46251981514403,TJ019,[ 62.63 -72.23  -0.55]
47,0.6967924546207097,0.6277480470621494,FR032,[-62.63 -16.47  -0.87]
48,0.6302262257315127,0.14783126523941054,FR025,[ 44.44  11.02 -39.89]
49,0.8202458273711538,0.922460458464611,TJ032,[57.58 30.06 -3.03]
50,0.7895627458527297,0.699593927337217,TJ025,[-12.12  70.84 -14.98]
51,0.5124548799815877,0.3975316119676911,CH068,[-26.26  -3.76 -32.4 ]
52,0.6496444915248285,0.3713098550794473,CH066,[-16.16  33.   -23.12]
53,0.4327169449989677,0.3451109964375392,CH008b,[48.48 -3.55  9.61]
54,0.9766186824887084,0.9361306834399032,BW001,[44.44  6.33 18.83]
55,0.3713115340534428,0.21077056971772168,CH005,[ 62.63 -32.17   3.74]
56,0.3572236357501426,0.08881369440254018,CH005,[ 42.42  -8.29 -46.96]
57,0.8336210902504992,0.5478538953385566,FR032,[-64.65 -25.28  10.64]
58,0.6303315283178363,0.5622272273591618,CH008b,[ 50.51 -11.27  -1.84]
59,0.5168628056781339,0.4868241425851375,UP005,[ 19.19 -86.28  56.39]
60,0.38408898077428666,0.12852570669942304,FR025,[62.63 -9.88 12.54]
61,0.5837068239391884,0.09259541564401604,FR050,[-67.68 -27.03  25.78]
62,0.9380727222358212,0.7835656867048492,BW001,[ 42.42 -12.72   6.95]
63,0.4958915843137732,0.3420626968359403,CH068,[-34.34   6.85 -38.94]
64,0.6447827432743105,0.19166924564987847,CH065,[ 26.26 -28.27  73.6 ]
65,0.6294941235511761,0.5700067537958355,TJ005,[14.14 71.51 -6.59]
66,0.6828790090544014,0.6680155404908336,CH058,[48.48 23.52 26.27]
67,0.5613006544533523,0.5353261468625343,FR210,[ 18.18  -4.22 -21.7 ]
68,0.8684880207918048,0.7547165907690748,TJ030,[ 43.43 -27.13 -17.06]
69,0.6068940109901442,0.5569195130226215,TJ030,[56.57 17.86 -7.31]
70,0.6998063067375652,0.6661626564742696,CH042,[-30.3  -15.65 -43.81]
71,0.7937336182673467,0.6791823903096323,TJ028,[ 27.27  32.23 -29.13]
72,0.5383978293318162,0.4285163802992322,TJ005,[ 18.18 -83.14  55.47]
73,0.05469759040519974,0.0435967991393938,TJ010,[-38.38  61.16  16.29]
74,0.6712658018723177,0.4099636175628874,TJ018,[-67.68 -23.78 -22.83]
75,0.5709860472288232,0.8608360848757706,TJ034,[-32.32 -96.78  -5.11]
76,0.8967891139879747,0.7235470824006385,TJ027,[ 37.37  -9.47 -19.62]
78,0.7867716944523719,0.6202674824192237,TJ019,[ 73.74 -45.3   19.37]
79,0.8178265674952417,0.457145581440005,TJ028,[ 67.68 -49.11  -9.99]
80,0.4138123240296501,0.3725140295826544,CH012,[-49.49  27.59   5.81]
81,0.4612907959062169,0.3262144794839208,CH040,[-31.31  21.26 -14.27]
82,0.4881015055690126,0.31441603386124983,FR050,[-25.25   1.08  64.26]
