,across,within,Subject,R
0,0.40318198892002544,0.560850118391051,TJ028,[-21.21  69.09 -22.23]
1,0.5680277838149456,0.30947655524349416,CH061,[ 50.51 -39.08  40.38]
2,0.42164144236578294,0.08123014364832036,TJ018,[42.42 50.14  9.18]
3,0.2327229409338351,0.3085965992980217,CH067,[-63.64  -5.66  10.58]
4,0.44837212289914463,0.06835720779820101,TJ027,[ 72.73 -38.51 -16.53]
5,-0.0541349316978754,0.5458601714531586,TJ019,[ 54.55 -27.75  62.74]
6,0.7565443511438891,0.6305334065553829,FR050,[-51.52 -32.69  58.13]
7,0.5264756797899157,0.3406592608137032,CH061,[ 61.62 -37.53  29.58]
8,0.7238163205055397,0.4671193600540854,BW001,[ 34.34  32.9  -20.74]
9,0.7547707607163874,0.3446777009020695,TJ003,[-25.25  18.12 -37.09]
10,0.4170591250826139,0.0330773310482293,TJ025,[ 44.44  24.45 -16.46]
11,0.2631841735512344,-0.13089597069749234,TJ010,[ 60.61 -47.36 -26.58]
12,0.6349846478858133,0.19176331295915375,CH046,[-16.16  -3.5  -14.51]
13,0.0719078532894733,0.08652371306476622,FR280,[-27.27  12.67 -54.1 ]
14,0.21595037425305155,0.03617964591168738,FR029,[ 30.3   49.06 -12.66]
15,0.40126001969549496,0.5340624189274397,UP019,[-10.1  -24.91 -20.51]
16,0.04100525864508837,0.2558183725202058,CH061,[58.59 -2.01 42.34]
17,0.5531825322265084,0.4159460219380608,FR210,[ 18.18  -4.22 -21.7 ]
18,0.3425256344442571,0.40692692240725215,FR150,[60.61 25.38  8.96]
19,0.3222145955260638,0.7582689645804626,FR290,[-26.26  14.06 -38.52]
20,0.8176521793924201,0.5852054567345144,FR080,[ 28.28 -11.63 -17.36]
21,0.498286597243391,0.43243611249304736,FR150,[ 60.61 -80.    11.01]
22,0.3928822477136202,0.013984005579775848,TJ018,[-18.18  63.42  33.82]
23,0.3928822477136202,0.29151429679134555,TJ018,[-18.18  63.42  33.82]
24,0.5790652589910521,0.13965310475970558,TJ018,[ 21.21  37.01 -20.51]
25,0.471229117129342,0.1449875070538439,TJ018,[-60.61 -30.83 -26.81]
26,0.5287007856123873,0.35530688029385343,TJ034,[-60.61 -52.97 -16.17]
27,0.15022619029957654,0.21030413821602476,CH065,[ 44.44 -38.05  62.2 ]
28,0.04818714800195534,0.37961488077881467,CH067,[-56.57  33.46  -9.98]
29,0.4802619972908799,0.17127873430660892,CH068,[-45.45 -72.43 -19.68]
30,0.5233092119199351,0.024275304071897257,TJ025,[17.17 71.51 -6.59]
31,0.8322582177674229,0.1727999204645162,FR025,[ 12.12 -47.31  18.18]
32,0.6713393069593028,0.15530854550840664,TJ004,[-70.71 -21.88 -19.14]
33,0.7287105011565047,0.3263236029136032,UP007,[-52.53  41.75  12.  ]
34,0.438203852146305,0.05922779930001544,TJ021,[ 69.7  -36.96  -4.52]
35,0.625580289981717,0.5669610155949751,TJ034,[-21.21 -28.42 -11.18]
36,0.05675457718660901,0.4027386403388853,CH042,[-57.58 -15.6  -21.16]
37,0.5596621434231147,0.2663123443341277,BW023,[ 25.25  -9.16 -26.75]
38,-0.1645171743746068,0.6302364658592957,CH042,[-18.18 -21.21 -34.6 ]
39,0.8123598682041999,0.4580226113048406,BW013,[ 28.28 -27.69 -27.82]
40,0.046571290905361946,0.5428626458327552,FR120,[-59.6  -13.08  -7.91]
41,0.15043800553704895,-0.12002098302441283,TJ017,[-20.2   40.46 -28.65]
42,0.37483351793943737,0.50568978534624,CH061,[58.59  6.54 36.26]
43,0.9603720962388728,0.32302814698990523,CH008b,[ 22.22 -20.33 -30.97]
44,0.19323078234096666,0.2694306738495009,TJ034,[-49.49 -77.99  33.97]
45,0.2865218721708754,0.7285414140677192,CH065,[30.3  17.71 61.88]
46,0.22183901344966547,0.037361727430012016,CH058,[-16.16  56.37   8.42]
47,0.4859966359346077,-0.04381582820987903,FR038,[-33.33 -15.85 -39.06]
48,0.2697932375332525,0.38296810034984224,CH065,[10.1  32.17 61.55]
49,0.8677277397341097,0.7262861918224962,BW023,[-23.23  -9.27 -24.37]
50,0.6007247289473051,0.4813937687435581,CH068,[-26.26  -3.76 -32.4 ]
51,0.4922685747359268,0.11763172361747268,TJ021,[ 63.64 -24.1   50.96]
52,0.2730657272853234,0.3538410685150546,FR037,[ 53.54 -30.43  53.9 ]
53,0.5997268459201511,0.07713281705384173,CH058,[ -1.01 -21.52  40.22]
54,-0.009452091080246413,-0.1720447636026584,TJ034,[-30.3  -96.73  -6.78]
55,0.6105470688229734,0.4231570279353455,TJ005,[ 35.35 -67.85  59.54]
56,0.08150733431712104,0.2588105146552909,FR029,[ 64.65 -27.49  35.55]
57,0.3272261959850252,0.3401000344162948,TJ005,[55.56 40.41 -3.62]
