,across,within,Subject,R,Sample rate,Samples,Thresholded electrodes,Sessions,Number thresholded,Total time (h),Average session length (h),Total electrodes,Proportion thresholded
0,0.08725330112438373,-0.02057044599424487,CH005,[ 41.41 -11.89 -35.25],250.0,841161,95,1.0,9,0.935,0.935,104,0.087
1,0.5337745681263142,0.0906304142978111,TJ018,[-17.17  70.01  25.46],250.0,2700000,123,1.0,37,3.0,3.0,160,0.231
2,0.4076761236411121,0.2249923904922144,CH058,[51.52 38.35 -3.74],250.0,1613853,113,2.0,15,1.793,0.896,128,0.117
3,0.4556022672965568,0.17699197608350706,TJ005,[ 63.64 -54.72  22.14],250.0,2076750,99,3.0,13,2.308,0.769,112,0.116
4,0.3953217475696991,0.16503016409906646,TJ032,[ 68.69 -22.14  31.48],250.0,3526250,82,4.0,8,3.918,0.98,90,0.089
5,0.6615520876901941,0.6382968586588303,CH013,[-40.4   36.4   -6.24],250.0,1549237,121,2.0,2,1.721,0.86,123,0.016
6,0.1128062461994834,-0.0692536241754247,TJ017,[-20.2   40.46 -28.65],250.0,7200000,6,3.0,72,8.0,2.667,78,0.923
7,0.7574936956600915,0.3996819090894203,FR260,[-49.49  26.87 -24.67],250.0,1050000,42,2.0,20,1.167,0.584,62,0.323
8,0.33494738001740965,0.01752269801201311,TJ034,[-43.43 -78.97 -11.72],250.0,2204250,80,2.0,16,2.449,1.224,96,0.167
9,0.5911575886894408,0.4466765629582925,FR280,[-25.25  22.4  -40.42],250.0,1275003,68,3.0,14,1.417,0.472,82,0.171
10,0.5392084790137538,0.18338710905863587,TJ018,[-15.15  73.56  15.85],250.0,2700000,123,1.0,37,3.0,3.0,160,0.231
11,0.6541794818519598,0.2054333802547959,CH065,[  1.01  60.49 -14.38],250.0,986500,118,2.0,7,1.096,0.548,125,0.056
12,0.8862657715712181,0.4443232442677783,FR050,[-26.26 -48.65  68.17],250.0,447750,98,1.0,2,0.498,0.498,100,0.02
13,0.8075367386211799,0.5200598653145795,UP005,[ 51.52 -12.46 -22.17],250.0,2360235,53,4.0,9,2.622,0.656,62,0.145
14,0.4246153311799142,0.2736761293671639,CH066,[-55.56   4.27  18.73],250.0,740878,156,1.0,0,0.823,0.823,156,0.0
15,0.2687640345884827,0.6274337388480586,TJ013,[ 37.37  -9.47 -19.62],250.0,3403750,55,4.0,25,3.782,0.946,80,0.312
16,0.7576414743070476,0.10987316784320687,TJ018_2,[ 48.48  28.31 -10.28],250.0,1500000,137,1.0,23,1.667,1.667,160,0.144
17,0.5007104044471914,0.06003352678195721,CH005,[ 58.59 -10.09 -29.19],250.0,841161,95,1.0,9,0.935,0.935,104,0.087
18,0.4169560379978877,0.3281459126900199,CH003,[-58.59 -17.97 -14.15],250.0,2428415,60,3.0,4,2.698,0.899,64,0.062
19,0.9138216964445728,0.12439539260463554,TJ027,[ 76.77 -34.34   5.81],250.0,2484500,101,5.0,9,2.761,0.552,110,0.082
20,0.5767409461390106,0.4758335113014268,CH048,[21.21 39.12  2.07],250.0,2454000,44,4.0,79,2.727,0.682,123,0.642
21,0.7477474392887182,0.6257745719765339,UP005,[ 42.42 -14.52 -22.29],250.0,2360235,53,4.0,9,2.622,0.656,62,0.145
22,0.6481908766302116,0.01170231384632773,TJ010,[ 56.57 -19.82 -19.02],250.0,529500,124,1.0,2,0.588,0.588,126,0.016
23,0.4822319404461122,0.041866295857259296,TJ004,[-27.27 -20.69 -22.65],250.0,645500,53,1.0,3,0.717,0.717,56,0.054
24,0.8846426061222596,0.1230387469944951,FR025,[ 15.15 -71.66   9.28],250.0,900000,69,1.0,29,1.0,1.0,98,0.296
25,0.8256746151414187,0.2308874910009597,CH013,[ 2.02 32.33 58.3 ],250.0,1549237,121,2.0,2,1.721,0.86,123,0.016
26,0.6849296436780525,0.22249752023933972,CH065,[ 46.46  50.24 -16.17],250.0,986500,118,2.0,7,1.096,0.548,125,0.056
27,0.6390792346272051,0.4950687957969258,UP005,[ 65.66 -62.81  18.45],250.0,2360235,53,4.0,9,2.622,0.656,62,0.145
28,0.9671467146509576,0.7568027933036213,FR050,[-39.39 -51.53  63.66],250.0,447750,98,1.0,2,0.498,0.498,100,0.02
29,0.7723320467712851,0.012935941734315096,FR050,[-28.28  23.84 -26.04],250.0,447750,98,1.0,2,0.498,0.498,100,0.02
30,0.5360439157648127,-0.35724188567841875,CH066,[-34.34  58.89  -1.36],250.0,740878,156,1.0,0,0.823,0.823,156,0.0
31,-0.07913487326663884,0.21719808286644424,UP019,[ 61.62  -3.7  -33.59],250.0,1665000,68,2.0,12,1.85,0.925,80,0.15
32,0.3969022564909228,0.1430158259992278,CH058,[ 2.02 20.43 47.87],250.0,1613853,113,2.0,15,1.793,0.896,128,0.117
33,0.6258582698668774,0.8210923621455741,CH013,[-12.12  41.8  -11.89],250.0,1549237,121,2.0,2,1.721,0.86,123,0.016
34,0.8533157829539229,0.40136219440943177,CH013,[-51.52 -21.68  43.47],250.0,1549237,121,2.0,2,1.721,0.86,123,0.016
35,0.010912021575762577,0.024854568591552183,CH008b,[38.38 23.37  7.76],250.0,2425750,105,4.0,23,2.695,0.674,128,0.18
36,0.5942380836378865,0.509203067018921,FR280,[-67.68   5.61 -10.4 ],250.0,1275003,68,3.0,14,1.417,0.472,82,0.171
37,0.4918479093288173,0.09341577164282673,CH068,[-24.24 -19.35 -29.72],250.0,2302000,63,4.0,8,2.558,0.64,71,0.113
38,0.7361117948763101,0.12697561404305752,TJ027,[ 65.66 -49.68 -20.75],250.0,2484500,101,5.0,9,2.761,0.552,110,0.082
39,0.4793889456794841,0.7340412717043623,FR210,[ 65.66 -34.85  -5.59],250.0,1350000,23,2.0,7,1.5,0.75,30,0.233
40,0.7506651490229702,0.17479380129245145,FR120,[ 26.26  -3.19 -21.64],250.0,1950000,14,3.0,16,2.167,0.722,30,0.533
