,across,within,Subject,R
0,0.8983051768627347,0.5311649398240803,R1092J,[ 36.99 -36.88   5.88]
1,0.2752164099835361,0.26166823539390954,R1230J,[-25.08   0.75 -18.87]
2,0.7724707923525497,0.6449202166693696,R1093J,[ -2.32  59.53 -63.12]
3,0.3848636641139911,0.5096730307788881,R1273D,[-48.98  20.62 -30.91]
4,0.6331605329948345,0.6918334427068885,R1189M,[ 19.93  38.74 -14.39]
5,0.8773211122473785,0.4922499306773955,R1226D,[-33.36   7.19 -26.77]
6,0.926926185437424,0.5996792134741328,R1337E,[-56.63  -2.86 -26.11]
7,0.6736007208584739,0.3857259670901152,R1204T,[-35.02   2.27  10.56]
8,0.9679363611284426,0.5844391491988965,R1170J,[-12.13  33.25  18.27]
9,0.5871886521502196,0.2990463044359051,R1243T,[-27.17 -29.58  -0.74]
10,0.5871886521502196,0.3243638681528025,R1243T,[-27.17 -29.58  -0.74]
11,0.9907536393731258,0.9971087870365906,R1221P,[-44.8    0.85 -11.05]
12,0.7995047085981859,0.5822190120107628,R1170J,[-24.93  29.03 -20.49]
13,0.7241345990286475,0.31571317265019955,R1075J,[ 1.67  9.6  23.75]
14,0.8762901043534234,0.5616689485615182,R1169P,[ 4.61 19.95 39.66]
15,0.1319859272807173,0.4299832851760312,R1065J,[22.68 44.04 24.12]
16,0.7668355554428834,0.3391717340913529,R1147P,[-44.4   17.76   8.28]
17,0.9575884288795572,0.5720312294086625,R1094T,[-39.95   1.4  -33.92]
18,0.9575884288795572,0.5461076105300867,R1094T,[-39.95   1.4  -33.92]
19,0.7426126606597281,0.5974860644008497,R1204T,[-47.84 -39.59  36.25]
20,0.9198768223661828,0.4365899180416164,R1243T,[-50.85 -34.67  25.66]
21,0.739084572050259,0.41922248559190994,R1092J,[ 22.96 -32.99   7.49]
22,-0.023176512657613297,0.994950624210511,R1221P,[-58.18 -14.29  -7.26]
23,-0.023176512657613297,0.5917270587539971,R1221P,[-58.18 -14.29  -7.26]
24,0.8970779971969579,0.3888839283377842,R1061T,[57.87 18.87  0.48]
25,0.6182161243182482,0.5440559423674636,R1065J,[36.11 55.24 -3.23]
26,0.7541441168178432,0.3860355756552772,R1243T,[-50.4   27.9   71.08]
27,0.7662631896713392,0.4215267258895988,R1077T,[ 31.53 -27.43 -30.1 ]
28,0.8961536769859176,0.25817374796468195,R1032D,[37.65 -6.05 78.45]
29,0.92196816457321,0.5783192640606395,R1163T,[-67.46   2.56  -3.05]
30,0.8654333196078812,0.4287755269371365,R1174T,[-41.16 -26.43  -3.58]
31,0.7181101282009412,0.4471809009906227,R1093J,[-47.31  46.42 -33.23]
32,0.8614429615417979,0.5126670418160038,R1174T,[-20.86 -23.44  -7.22]
33,0.4017161531580787,0.18720506541324866,R1260D,[-48.95   9.59  45.39]
34,0.8261103346390206,0.6887687535982665,R1108J,[ 42.56 -14.08 -36.11]
35,0.6931302065052329,0.5364696260031708,R1174T,[-55.79 -11.89 -16.54]
36,0.7730634658297556,0.5792580328777234,R1094T,[-60.37   1.82 -34.32]
37,0.7730634658297556,0.5938078434167988,R1094T,[-60.37   1.82 -34.32]
38,0.492887091475858,0.4116726996007302,R1083J,[-25.25 -82.4  -12.01]
39,0.8841190768545141,0.5532964722085801,R1230J,[-32.21  -2.49   8.76]
40,0.5066284350275647,0.3069736508981919,R1077T,[ 31.13 -58.88  27.36]
41,0.9202683122440221,0.4522398790267825,R1108J,[-39.79  -5.44 -43.06]
42,0.8187066155745938,0.77076932126847,R1065J,[-58.28 -15.32 -20.81]
43,0.4234726979694696,0.2703295291891008,R1171M,[ 32.76  -5.85 -43.45]
44,0.5702510543571433,0.372460028216914,R1215M,[-48.77  19.75 -40.74]
45,0.5702510543571433,0.423997053468323,R1215M,[-48.77  19.75 -40.74]
46,0.88655384773628,0.3370705852976386,R1243T,[-59.45 -57.77  29.83]
47,0.33671999041407075,0.21536865418503076,R1083J,[-50.47  -8.61 -47.83]
48,0.6425407163890567,0.3204651945532541,R1260D,[-59.6   -6.73 -10.16]
49,0.8625692878048518,0.3622590871249933,R1147P,[-53.36  -0.54 -16.03]
50,0.9228276642049426,0.6383747493839801,R1204T,[47.39 23.28 27.77]
51,0.8320722157477376,0.5094474048389568,R1174T,[-50.25 -27.47  -2.92]
52,0.4962885471945677,0.4696215677491073,R1075J,[ 23.85  49.44 -23.52]
53,0.4971030747113834,0.3993337779621962,R1260D,[-25.45  25.13  69.93]
54,0.7147249952610399,0.305811401000572,R1201P,[ 49.13 -22.93  -2.56]
55,0.7163147504448331,0.6008760414145975,R1077T,[ 44.17  27.23 -19.69]
56,0.8081127934408363,0.4844869220327579,R1061T,[ 59.65 -26.75  22.69]
57,0.5285740162875782,0.30127340582223994,R1092J,[-28.95  -2.81 -33.31]
58,0.07583763598705917,0.5546437196517467,R1065J,[-33.88 -40.18   4.82]
59,0.4687686981541048,0.36091670535756015,R1094T,[-25.65  47.35  -9.53]
60,0.4687686981541048,0.3357123777309142,R1094T,[-25.65  47.35  -9.53]
61,0.7751822275553949,0.0006227275990522449,R1124J,[ 32.84  19.96 -43.75]
62,0.8291808600387182,0.466978945131511,R1108J,[ 19.53  -5.41 -42.96]
63,0.18152879632305294,0.16619812214365393,R1144E,[-68.45 -43.15  -7.93]
64,0.8950949528266475,0.5068668262752789,R1108J,[11.39  0.86 12.79]
65,0.8678358552592674,0.12602239214417038,R1124J,[-39.73   6.88 -23.48]
66,0.2785343193389575,0.2671479286334135,R1222M,[-46.97  47.63   6.82]
67,0.0011886600197276078,0.29036285958638675,R1167M,[-50.93   8.94  -7.68]
68,0.6930235129026552,0.6131005931930251,R1247P,[ 31.09 -15.33  35.02]
69,0.2054097797558554,0.5472630675315457,R1094T,[-55.35   1.66 -35.11]
70,0.2054097797558554,0.5566157938006372,R1094T,[-55.35   1.66 -35.11]
71,0.6130067514814037,0.34285707819754896,R1092J,[-34.6    1.82 -28.94]
72,0.7770950434355227,0.5530427950416911,R1221P,[-48.51 -14.53 -11.34]
73,0.7770950434355227,0.993808419795992,R1221P,[-48.51 -14.53 -11.34]
74,0.4625533385416221,0.23735660653795956,R1260D,[-57.24 -43.41  10.62]
75,0.15726875832728182,0.4711334744643621,R1158T,[-56.55 -33.03  16.94]
76,0.9772333260675308,0.7832879735545127,R1201P,[ 45.03 -26.12   8.83]
77,0.4786270469056317,0.27877718539902,R1204T,[-17.25   6.69  -3.86]
78,0.8079664229197319,0.36288120075110203,R1147P,[-43.58  27.3    3.8 ]
79,0.2321501235959169,0.4728545370379206,R1065J,[-28.3   27.41 -15.75]
80,0.8379723732822315,0.5795338696023642,R1163T,[-38.39  27.34 -10.92]
81,0.7288464350886255,0.5587493981215066,R1045E,[-54.58  -3.24  19.78]
83,0.9231881004781972,0.7310507623710185,R1163T,[40.62  6.22 -6.62]
84,0.903940753568522,0.6639174080486688,R1337E,[-50.56  15.74 -19.39]
85,0.9074019033663276,0.4927110524767415,R1094T,[-52.72 -49.78  29.23]
86,0.9608894102707788,0.6783790574571715,R1083J,[-53.39  19.07 -43.78]
87,0.6656911907851951,0.6133670158765169,R1247P,[39.67 33.46  7.17]
88,0.7735266204182858,0.4358848082343107,R1141T,[-38.87   7.7  -16.86]
89,0.5472159544665725,0.2445778832202183,R1201P,[ -4.45 -67.18  -3.12]
90,0.7649868484900317,0.5925573194673825,R1111M,[-53.01 -51.7  -23.19]
91,0.8538112232289756,0.4460357638560379,R1174T,[-41.16 -26.43  -3.58]
92,0.8989402357056899,0.3617950328256516,R1243T,[-37.39  -3.72   3.04]
93,0.8989402357056899,0.3583345204696809,R1243T,[-37.39  -3.72   3.04]
94,0.5813242163328699,0.4121028706989782,R1083J,[-38.94 -16.73 -55.41]
95,0.36836947756133603,0.4471276715060592,R1226D,[-57.78 -31.68 -35.85]
96,0.5817458359354304,0.29236677118610865,R1243T,[-22.29 -28.16  -2.07]
97,0.5817458359354304,0.2659191293428717,R1243T,[-22.29 -28.16  -2.07]
98,0.8944079077025116,0.4358081846265096,R1243T,[-47.92  -3.2    3.22]
99,0.8944079077025116,0.4320331143265904,R1243T,[-47.92  -3.2    3.22]
100,0.7194414208004496,0.3166529490037667,R1215M,[-50.66   2.62 -38.18]
101,0.7194414208004496,0.3600262190413426,R1215M,[-50.66   2.62 -38.18]
102,0.7195329130654391,0.7134293258052524,R1226D,[-20.58  54.3   -4.18]
103,0.15894546275905988,0.3854901756655931,R1075J,[32.11  1.76 48.02]
104,0.8742824908666641,0.4640462329503919,R1243T,[-63.48  -8.21  16.45]
105,0.7821097132741155,0.35792222113888483,R1032D,[-32.97 -35.26   4.42]
106,0.9276239647621508,0.6491043472172026,R1204T,[-43.1   -0.88  23.48]
107,0.8425895558171003,0.17388127798233766,R1260D,[-62.82 -31.71  -3.17]
108,0.795391852447113,0.5791145199400882,R1065J,[25.04 37.61  6.28]
109,0.6605728509474537,0.3509380865915126,R1291M,[-49.53  31.71 -32.73]
110,0.5846058641878159,0.32979333938678834,R1260D,[-46.67  22.05   0.85]
111,0.5575351866304479,0.4369333212121128,R1264P,[-48.45 -67.07   1.59]
112,0.035572131436301786,0.15843593089067662,R1222M,[-44.    43.77  18.05]
113,0.8992567641217645,0.384800200028858,R1189M,[56.15 21.78 -5.42]
114,0.36341645285554536,0.3226230720091903,R1247P,[-52.96 -34.82 -29.4 ]
115,0.9490416413616418,0.495751917572848,R1061T,[35.   35.43 17.6 ]
116,0.20748797299657573,0.247606382317977,R1215M,[-47.49   6.5  -38.89]
117,0.20748797299657573,0.2579979184414669,R1215M,[-47.49   6.5  -38.89]
118,0.6723141207236852,0.35805422020815325,R1291M,[-56.83  15.58 -15.  ]
119,0.823945152441953,0.3266789052096583,R1108J,[ -8.57 -22.2    4.76]
120,0.7986149416160035,0.5862393664350515,R1147P,[-32.99 -41.14  47.81]
121,0.9268522381843836,0.5003592361312891,R1170J,[-29.08  28.65 -31.65]
122,0.4627892731966626,0.28979835118848873,R1167M,[-58.08 -37.61  -3.97]
123,0.4013707284651069,0.24122717483020215,R1112M,[ 42.49  12.25 -12.71]
124,0.4013707284651069,0.2832289407954742,R1112M,[ 42.49  12.25 -12.71]
125,0.7898838967928243,0.295901737648325,R1147P,[-50.29  -4.23  -0.33]
126,0.4084234990220865,0.28481362231752105,R1112M,[  5.92  38.12 -35.37]
127,0.4084234990220865,0.3764949885038987,R1112M,[  5.92  38.12 -35.37]
128,0.7555551496952343,0.29020249348056343,R1094T,[-38.84  18.54 -39.  ]
129,0.8958696972382729,0.5037385931584186,R1243T,[-32.08   8.01  78.12]
130,0.8958696972382729,0.5197741712982538,R1243T,[-32.08   8.01  78.12]
131,0.7936674299677084,0.4161538371249891,R1147P,[-35.38 -24.66  44.18]
132,0.2585643940165822,0.3191369898015095,R1032D,[-28.32 -23.66  28.73]
133,0.3595370516550809,0.2070783366624193,R1167M,[-26.15  52.11  32.95]
134,0.965378507118265,0.4612978017029061,R1201P,[ 49.07 -13.07  13.  ]
135,0.9200398618890852,0.10684717863287012,R1124J,[-29.42  27.09   2.26]
136,0.6942520299428359,0.4275757122895119,R1264P,[-44.16 -42.48  -6.62]
137,0.8733756642977389,0.6339470843020534,R1141T,[-61.45 -16.71 -10.45]
138,0.8572496100913508,0.8249503945621679,R1045E,[-50.13   1.75 -23.76]
139,0.8428317083159552,0.30987165594110705,R1083J,[-24.05 -16.17 -40.12]
140,0.5862567797062979,0.6341780369123124,R1092J,[-44.17   6.44 -24.22]
141,0.5069732998489435,0.3251350573788629,R1260D,[-48.95 -84.9   13.58]
142,0.708619195396353,0.16838948137274246,R1075J,[-38.48  42.98  27.6 ]
144,0.4519386772022946,0.4546122239826989,R1230J,[-17.69  -8.27 -19.89]
145,0.8184398440440654,0.20636575325726225,R1061T,[ 26.53 -14.83 -12.97]
146,0.8743832443355544,0.5375843350890547,R1169P,[-0.82 32.34 31.56]
147,0.16857502592047025,0.4017868857418525,R1230J,[-33.07   7.08  25.32]
148,0.9483737392733952,0.5655109594977662,R1201P,[ 33.8  -90.24  25.46]
149,0.5485802710690598,0.24839457668861803,R1167M,[-46.89  22.92  -8.22]
150,0.8169380932184983,0.7019952169738387,R1147P,[-27.76 -60.68  44.01]
151,0.04935493421964469,0.5901764027717971,R1274T,[-55.   -10.    -1.92]
152,0.5578474967903491,0.5922208703590796,R1230J,[-36.83  42.06   0.94]
153,0.5190741497986723,0.4012671374970325,R1273D,[-47.83  24.07 -18.29]
154,0.06908587308856305,0.4308720829263156,R1077T,[-48.79  21.11 -33.69]
155,0.7445438588042026,0.5219368476211151,R1174T,[-24.53 -37.65  27.  ]
156,0.2211265219348148,0.7970658129917539,R1274T,[ 25.25   4.72 -37.92]
157,0.9858247212284438,0.6054091512877389,R1170J,[-27.64 -29.43  -9.35]
158,0.7669082459650732,0.551756987911285,R1204T,[41.06 28.66  6.69]
159,0.715486712577903,0.5396934664416642,R1169P,[ 4.   20.44 49.48]
160,0.9015628018732941,0.5032422676286736,R1108J,[-29.85 -13.86  24.68]
161,0.7574076132285419,0.5400030098551535,R1061T,[36.21 17.38  3.47]
162,0.9259690041849544,0.567844620154062,R1170J,[-29.78 -14.26 -20.87]
163,0.38595860114511865,0.4886374818047672,R1065J,[-27.66  15.22   3.5 ]
164,0.9936163943000162,0.9968355278399332,R1221P,[-24.05  20.64 -26.16]
165,0.35578860884862284,0.5096285696538847,R1065J,[-43.31 -40.41   8.81]
166,0.9193456325257212,0.5568481786435892,R1169P,[ 3.45 19.38 33.93]
167,0.8848457628412809,0.4479025158962641,R1108J,[-10.28  -4.03   9.64]
